user_id,stimuli,label,ground_truth_rating,fixation_count_total,fixation_count_per_word,fixation_count_per_image,fixation_duration_avg,fixation_duration_total,fixation_duration_std,fixation_duration_max,fixation_duration_per_word,fixation_duration_per_image,saccade_count_total,saccade_duration_total,saccade_duration_avg,saccade_duration_std,saccade_length_avg,saccade_length_std,saccade_velocity_max,scanpath_length,scanpath_duration_total,overall_pupil_diameter_mean,overall_pupil_diameter_std,num_aoi_transitions,fixation_rate,relative_saccade_angles_avg,relative_saccade_angles_std,absolute_saccade_angles_avg,absolute_saccade_angles_std,pupil_width_l_avg,pupil_width_l_std,pupil_width_l_max,pupil_width_l_min,pupil_width_r_avg,pupil_width_r_std,pupil_width_r_max,pupil_width_r_min,first_fixation_pupil_width_l,last_fixation_pupil_width_l,first_fixation_pupil_width_r,last_fixation_pupil_width_r
B08,580454,False,True,34,19.0,15.0,243.64705882352945,8284.0,139.54859745512815,636.0,4724.0,3560.0,11,276.0,25.09090909090909,17.896673129129585,220.45454498804372,136.05684119262352,19.64499740864296,2424.9999948684813,8560.0,2.78588629828559,0.0872836145351758,4,240.9569597069597,0.2329955302249679,2.1277487569751696,1.7768301186550954,1.1935143146834528,2.84737311469184,0.093058920569631,3.0420684814453125,2.6680145263671875,2.7243994818793404,0.087992185807989,2.856185913085937,2.522689819335937,2.833984375,2.8599395751953125,2.84686279296875,2.7325439453125
B08,58873,True,True,12,9.0,3.0,211.66666666666663,2540.0,118.35795731849235,456.0,2108.0,432.0,6,276.0,46.0,32.074912314767126,260.6684163263339,284.3966180017814,23.416592764093203,1564.0104979580033,2816.0,2.4517864651150174,0.0897730509001913,1,224.34119278779477,-1.0077365366276958,1.099610723855046,1.1319553080704232,0.9712640484454236,2.4865180121527777,0.0976299100614702,2.666290283203125,2.3279571533203125,2.417054918077257,0.0908393045109427,2.58746337890625,2.2847900390625,2.5589141845703125,2.666290283203125,2.5315399169921875,2.58746337890625
B08,61693,True,True,18,12.0,6.0,197.55555555555557,3556.0,79.63610046161241,376.0,2204.0,1352.0,7,232.0,33.142857142857146,16.60751407675224,223.730226738848,162.38602645232567,16.14721404088106,1566.1115871719358,3788.0,2.764412841796875,0.0734862488936845,2,233.52214212152415,-1.0061791207685562,1.6168384306942312,1.549019602621345,1.1077460019043983,2.834569091796875,0.0724813285288112,2.952972412109375,2.661895751953125,2.694256591796875,0.0780773004808538,2.835906982421875,2.511962890625,2.839111328125,2.661895751953125,2.70391845703125,2.511962890625
B08,67261,False,False,29,15.0,14.0,241.79310344827587,7012.0,112.87710741913236,508.0,3616.0,3396.0,12,524.0,43.66666666666666,68.46808590780662,307.881682926245,182.31984557479717,22.09739323853199,3694.58019511494,7536.0,2.7706049477181782,0.1123656864469811,4,231.54885654885652,-1.0895282001838085,1.7020103516702696,1.8255221240521335,0.8668217295296125,2.8050380799828507,0.1085923253585893,3.05596923828125,2.6150360107421875,2.736171815453506,0.1196681619862387,2.9645233154296875,2.48602294921875,2.851806640625,2.95672607421875,2.871368408203125,2.935775756835937
B08,68586,True,True,25,14.0,11.0,214.56,5364.0,82.14523723259919,384.0,2972.0,2392.0,10,304.0,30.4,31.166934045198893,244.27351222746603,186.6590050958576,19.69074140298159,2442.73512227466,5668.0,2.69661106782801,0.0873642250083665,4,230.58744091829848,-0.0457898968420886,2.0129738484199087,1.8753631256319865,0.732921261865893,2.715525163922991,0.0887071986183674,2.88470458984375,2.5172119140625,2.6783173504997704,0.0957609288246381,2.8607940673828125,2.466552734375,2.7392578125,2.540679931640625,2.7670440673828125,2.5297393798828125
B08,72495,True,True,21,15.0,6.0,204.0,4284.0,89.16501556103717,348.0,3080.0,1204.0,10,224.0,22.4,16.674664747587716,168.00992440765026,130.0270960209346,20.33880113039649,1680.0992440765026,4508.0,2.62859861312374,0.0770645330526702,4,235.95505617977528,-0.6493323385137026,0.9026135231184896,0.8203049249918699,0.7506287284604344,2.708834248204385,0.1019493848881332,2.904571533203125,2.576507568359375,2.548362978043095,0.0654838465814689,2.6637725830078125,2.359405517578125,2.6991119384765625,2.61383056640625,2.5818634033203125,2.359405517578125
B08,73885,False,True,36,26.0,10.0,197.33333333333331,7104.0,104.24586322727627,572.0,5172.0,1932.0,11,328.0,29.818181818181817,23.82359411095724,214.60829583536125,159.0866147559025,16.40916904789146,2360.6912541889737,7432.0,2.7396162317154253,0.1004371897024579,3,237.92016806722688,-0.1577091325651773,1.3137859656708126,1.0895865259155186,0.7508041932697241,2.793726170316656,0.1082522828616117,2.9661102294921875,2.5536651611328125,2.6855062931141958,0.0959894930201527,2.851669311523437,2.4813690185546875,2.934112548828125,2.8836212158203125,2.836151123046875,2.8075103759765625
B08,80801,False,False,19,14.0,5.0,195.1578947368421,3708.0,79.69473923659142,372.0,2760.0,948.0,8,88.0,11.0,10.8496214548843,191.455607669944,225.0496436594886,21.34497909142933,1531.6448613595517,3796.0,2.770942687988281,0.1136708114050474,2,242.56410256410257,-0.763390954154082,1.238202922471232,0.9185541407873006,1.1279053668384964,2.823294745551215,0.110242269117619,3.0533905029296875,2.659530639648437,2.7185906304253478,0.1206560858296291,2.9856414794921875,2.5673828125,3.0533905029296875,2.705062866210937,2.9856414794921875,2.6147003173828125
B08,80808,False,False,24,10.0,14.0,253.0,6072.0,142.61288434993767,632.0,2424.0,3648.0,10,368.0,36.8,42.15526855170854,190.50073373372584,123.55868957252108,18.82637532510521,1905.0073373372584,6440.0,2.717047971837661,0.2133933729229864,2,234.6317711503348,-0.8992072283053513,1.7399929050696905,1.7408821838426063,0.8974843570273803,2.7482079898609832,0.2150608626827483,3.133163452148437,2.3685302734375,2.6858879538143383,0.2165015467897884,3.0939178466796875,2.355133056640625,3.043487548828125,2.4406890869140625,3.0939178466796875,2.4430084228515625
B08,85731,False,False,23,11.0,12.0,224.34782608695653,5160.0,109.70315678546196,468.0,2776.0,2384.0,13,348.0,26.76923076923077,17.311623485170525,224.7472395849089,218.17213341895905,20.395150727129703,2921.714114603816,5508.0,2.5572056240505643,0.110533852997283,2,232.471671388102,-1.0020571988037097,1.9486768006400688,1.9574989658777704,0.9847119891697326,2.603179931640625,0.0970441334470529,2.85650634765625,2.4174346923828125,2.511231316460504,0.1331150153334913,2.8967742919921875,2.332260131835937,2.85650634765625,2.433990478515625,2.8967742919921875,2.4184722900390625
B08,96702,False,False,20,13.0,7.0,200.4,4008.0,91.9945078452198,436.0,2468.0,1540.0,12,312.0,26.0,17.929153506357892,150.72535802842438,103.51968463134938,24.948961532349813,1808.704296341093,4320.0,2.5790858268737797,0.1107245118017839,6,229.97299729973,-0.4432818242899588,1.5727206078196152,1.1486835070689216,1.1620994305971313,2.631801128387451,0.1082950294773347,2.8889312744140625,2.4983062744140625,2.5263705253601074,0.117877379787312,2.848846435546875,2.3865509033203125,2.8889312744140625,2.518096923828125,2.848846435546875,2.421630859375
B09,102281,True,True,16,9.0,7.0,173.0,2768.0,75.56365969609112,328.0,1540.0,1228.0,7,140.0,20.0,14.047538337136986,290.397991442378,232.87528304028865,19.29317185626437,2032.7859400966456,2908.0,3.354667331861413,0.1496280128948018,4,236.3150867823765,-1.1378955651448293,2.010682662809552,2.111258371447712,0.9382106249084688,3.374243694802989,0.1247094620524982,3.536468505859375,3.1261444091796875,3.335090968919837,0.1811154703469694,3.617507934570313,3.0350799560546875,3.5126190185546875,3.34222412109375,3.4898223876953125,3.4054718017578125
